name,type,neighborhood
Carrer Sant Gervasi de Cassoles,Espacios urbanos,Sant Gervasi - la Bonanova
Bodega Josefa,Bares y cafeterias,el Putxet i el Farro
El Canal de la Infanta,Patrimonio cultural,el Poble Sec
El barri Plus Ultra,Patrimonio cultural,la Marina de Port
Colonia Bausili,Espacios urbanos,la Marina del Prat Vermell
Villa Esperanza,Patrimonio cultural,Vallcarca i els Penitents
Villa Conchita o Casa dels Metges,Patrimonio cultural,el Coll
Conjunt de Torretes al carrer Verdi,Patrimonio cultural,la Vila de Gracia
Torre de Sant Jordi,Patrimonio cultural,el Coll
Torre de l'Aigua,Patrimonio cultural,la Vila de Gracia
La Pedrera Romana,Patrimonio cultural,el Poble Sec
La Plaça del Setge de 1714,Espacios urbanos,el Poble Sec
La Plaça del Sortidor,Espacios urbanos,el Poble Sec
Palau de la Premsa,Patrimonio cultural,el Poble Sec
La plaça del Raspall,Espacios urbanos,la Vila de Gracia
La plaça del Poble Romani,Espacios urbanos,la Vila de Gracia
La plaça de Nicolas Salmeron,Espacios urbanos,la Vila de Gracia
La plaça de John Lennon,Espacios urbanos,la Vila de Gracia
La plaça d'en Joanic,Espacios urbanos,la Vila de Gracia
Xemeneia de l'antiga Fabrica La Porcelana,Espacios urbanos,Hostafrancs
Metro Fontana,Patrimonio cultural,la Vila de Gracia
Masoveria de la Virreina,Patrimonio cultural,la Vila de Gracia
La rambla del Prat,Espacios urbanos,la Vila de Gracia
Casa Josep Barnoles - La del Mico i el Gos,Patrimonio cultural,el Camp d'en Grassot i Gracia Nova
La Lleialtat Santsenca,Patrimonio cultural,Sants
Edifici de La Caixa de Barcelona,Patrimonio cultural,la Vila de Gracia
antiga Fabrica de Lampares Z,Espacios urbanos,la Marina de Port
Kasa de la Muntanya (KM),Espacios urbanos,la Salut
Habitatge Classicista Providencia 79,Patrimonio cultural,la Vila de Gracia
La plaça de Gal·la Placidia,Espacios urbanos,Sant Gervasi - Galvany
Fabrica Artes,Patrimonio cultural,la Vila de Gracia
Ermita de la Mare de Deu de la Salut,Patrimonio cultural,la Salut
El Vapor Nou,Espacios urbanos,la Vila de Gracia
El carrer de Bonavista,Espacios urbanos,la Vila de Gracia
Edifici Puiggros,Patrimonio cultural,la Vila de Gracia
Edifici d'Habitatges Gran de Gracia 138,Patrimonio cultural,la Vila de Gracia
Edifici Modernista Riera de Sant Miquel 44,Patrimonio cultural,la Vila de Gracia
Edifici Modernista Francisco Giner 47,Patrimonio cultural,la Vila de Gracia
Edifici Modernista Avinguda Republica Argentina 28,Patrimonio cultural,Vallcarca i els Penitents
Edifici J. Artigas,Patrimonio cultural,la Vila de Gracia
Cases Manuel Raventos,Patrimonio cultural,la Vila de Gracia
Cases Leandre Vidal,Patrimonio cultural,la Vila de Gracia
Cases Folguera,Patrimonio cultural,la Vila de Gracia
Cases de menestrals,Patrimonio cultural,la Vila de Gracia
Cases Antoni Par,Patrimonio cultural,la Vila de Gracia
Conjunt de Cases al Carrer Francisco Giner,Patrimonio cultural,la Vila de Gracia
Casa Vilabella,Patrimonio cultural,la Vila de Gracia
Casa Victor Conill,Patrimonio cultural,la Vila de Gracia
Casa Tomas Valls,Patrimonio cultural,la Salut
Casa Seres,Patrimonio cultural,la Vila de Gracia
Casa Rubinat,Patrimonio cultural,la Vila de Gracia
Casa Rosa Alemany,Patrimonio cultural,Vallcarca i els Penitents
Casa Ramos,Patrimonio cultural,el Putxet i el Farro
Casa Pere Jaques,Patrimonio cultural,la Salut
